;sexo;tipo_de_emprendimiento;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;idea_negocio;línea_credito
117;femenino;agropecuaria;cabecera san antonio ;2;80;2017-12-05;7300000.0;criadero animales;microempresarial
118;masculino;servicio;moravia;3;4;2018-02-13;3000000.0;cafe internet;microempresarial
119;femenino;industria;popular;2;1;2018-08-24;7800000.0;fabrica;microempresarial
120;masculino;industria;manrique oriental;2;3;2016-12-06;6500000.0;ebanistaria;microempresarial
121;femenino;comercio;las palmas;2;8;2018-05-22;4400000.0;variedades;microempresarial
122;masculino;agropecuaria;santa elena central;2;90;2017-07-26;10000000.0;sembrados;agropecuaria
123;femenino;comercio;aranjuez;3;4;2018-02-02;36.0;variedades;microempresarial
124;masculino;industria;el socorro;2;13;2017-12-12;7370000.0;fabrica calzado;microempresarial
125;masculino;industria;doce de octubre no.1;1;6;2016-07-27;6800000.0;fabrica;microempresarial
126;femenino;comercio;manrique central no. 1;2;4;2016-10-04;6000000.0;fabrica helados;microempresarial
127;femenino;comercio;lopez de mesa;3;7;2017-10-18;2000000.0;miscelanea;microempresarial
128;femenino;comercio;aures no. 2;2;7;2019-03-01;2500000.0;bares;microempresarial
129;masculino;servicio;popular;2;1;2017-08-31;5000000.0;variedades;microempresarial
130;femenino;comercio;buenos aires;2;9;2017-01-24;7370000.0;miscelanea;microempresarial
131;femenino;comercio;cabecera san antonio ;2;80;2018-12-11;2000000.0;papeleria;microempresarial
132;masculino;servicio;centro admtivo;3;10;2017-11-08;4000000.0;restaurante;microempresarial
133;femenino;comercio;robledo;3;7;2017-10-13;4000000.0;carniceria;microempresarial
134;femenino;industria;castilla;2;5;2019-01-18;8200000.0;fabrica;microempresarial
135;femenino;comercio;san jose de la cima no. ;1;3;2018-02-16;2000000.0;comidas rapidas;microempresarial
136;femenino;servicio;palermo;1;4;2016-08-18;3500000.0;comidas rapidas;microempresarial
137;masculino;servicio;13 de noviembre;1;8;2017-08-15;7200000.0;tienda;microempresarial
138;femenino;servicio;tejelo;3;5;2017-04-03;7377000.0;mantenimiento;microempresarial
139;femenino;industria;doce de octubre no.1;1;6;2016-04-15;2000000.0;fabrica;microempresarial
140;femenino;comercio;francisco antonio zea;2;5;2018-02-09;781000.0;variedades;microempresarial
141;femenino;comercio;picacho;1;6;2019-05-29;8200000.0;tienda;microempresarial
142;masculino;comercio;girardot;3;5;2017-02-23;3000000.0;almacen ropa;microempresarial
143;masculino;industria;manrique oriental;1;3;2016-12-16;6900000.0;carpinteria;microempresarial
144;femenino;servicio;buenos aires;3;9;2017-06-13;7377000.0;peluqueria;microempresarial
145;femenino;comercio;el salvador;2;9;2017-10-27;6500000.0;variedades;microempresarial
146;masculino;servicio;santa elena central;2;90;2016-05-16;6000000.0;cafeteria;microempresarial
147;masculino;servicio;robledo;2;7;2018-05-08;6000000.0;barberia;microempresarial
148;masculino;comercio;belen;3;16;2018-06-08;7800000.0;peluqueria;microempresarial
149;femenino;industria;la loma oriental;2;60;2016-12-16;6890000.0;fabrica;microempresarial
150;masculino;servicio;la loma;1;60;2018-08-24;7800000.0;barberia;microempresarial
151;femenino;servicio;buenos aires;3;9;2016-12-05;6890000.0;cafe internet;microempresarial
152;femenino;servicio;castilla;3;5;2017-02-09;7377000.0;fabrica;microempresarial
153;masculino;comercio;barrio caicedo;2;9;2017-10-24;7300000.0;variedades;microempresarial
154;masculino;industria;manrique oriental;2;3;2018-06-18;4000000.0;fabrica;microempresarial
155;masculino;servicio;robledo;2;7;2018-02-21;7000000.0;peluqueria;microempresarial
156;femenino;servicio;florencia;3;5;2018-10-18;1500000.0;comidas rapidas;microempresarial
157;femenino;comercio;andalucia;2;2;2018-06-21;5000000.0;comidas rapidas;microempresarial
158;masculino;servicio;enciso;3;8;2018-09-27;7800000.0;mantenimiento;microempresarial
159;masculino;comercio;doce de octubre no.1;2;6;2018-10-24;4000000.0;comidas rapidas;microempresarial
160;femenino;industria;manrique central no. 2;2;3;2019-06-12;4500000.0;fabrica;microempresarial
161;masculino;industria;cabecera san cristobal;3;60;2018-10-26;7800000.0;fabrica muebles;microempresarial
162;femenino;comercio;aranjuez;3;4;2017-06-13;4000000.0;comidas rapidas;microempresarial
163;masculino;industria;robledo;3;7;2018-11-01;7800000.0;fabrica alimentos;microempresarial
164;femenino;comercio;robledo;2;7;2017-02-13;5000000.0;tienda;microempresarial
165;femenino;comercio;san javier no.1;1;13;2018-03-14;7800000.0;comidas rapidas;microempresarial
166;femenino;servicio;robledo;1;7;2016-06-24;6000000.0;cafe internet;microempresarial
167;femenino;industria;manrique central no. 1;1;4;2018-11-13;2500000.0;fabrica;microempresarial
168;femenino;comercio;manrique central no. 2;2;3;2016-04-14;6000000.0;legumbreria;microempresarial
169;masculino;servicio;buenos aires;3;9;2018-02-06;4000000.0;cafe internet;microempresarial
170;femenino;comercio;robledo;1;7;2018-08-24;7800000.0;variedades;microempresarial
171;femenino;industria;la floresta;2;13;2018-12-21;5000000.0;fabrica;microempresarial
172;femenino;comercio;cabecera san antonio ;2;80;2016-06-17;6800000.0;variedades;microempresarial
173;masculino;comercio;pedregal alto;3;60;2017-12-04;7000000.0;panaderia;microempresarial
174;masculino;comercio;villa del socorro;1;2;2018-02-15;7800000.0;ferreteria;microempresarial
175;femenino;comercio;buenos aires;3;9;2018-08-01;1000000.0;variedades;microempresarial
176;femenino;industria;la libertad;2;8;2018-05-31;7800000.0;fabrica;microempresarial
177;femenino;comercio;el chagualo;3;10;2018-05-25;7800000.0;variedades;microempresarial
178;femenino;comercio;popular;1;1;2016-10-26;4000000.0;miscelanea;microempresarial
179;femenino;industria;san javier no.1;3;13;2016-06-15;6500000.0;fabrica arepas;microempresarial
180;femenino;industria;aranjuez;2;4;2018-03-22;3400000.0;fabrica;microempresarial
181;masculino;comercio;popular;2;1;2017-11-22;4000000.0;comidas rapidas;microempresarial
182;masculino;comercio;picacho;1;6;2018-05-04;7000000.0;tienda;microempresarial
183;femenino;industria;campo valdes no. 1;3;4;2019-01-25;5000000.0;fabrica;microempresarial
184;femenino;servicio;enciso;2;8;2017-04-25;5000000.0;tienda;microempresarial
185;femenino;industria;santa cruz;2;2;2018-07-17;7800000.0;fabrica;microempresarial
186;masculino;industria;trinidad;3;15;2016-05-19;3000000.0;fabrica;microempresarial
187;femenino;comercio;barrio caicedo;2;9;2019-03-20;4000000.0;fabrica arepas;microempresarial
188;femenino;industria;robledo;2;7;2018-08-17;5000000.0;fabrica;microempresarial
189;femenino;comercio;el poblado;3;14;2017-06-16;7000000.0;variedades;microempresarial
190;femenino;comercio;santa cruz;2;2;2018-12-03;6000000.0;comidas rapidas;microempresarial
191;masculino;comercio;santa cruz;2;2;2019-02-05;8000000.0;almacen ropa;microempresarial
192;femenino;industria;cabecera san antonio ;2;80;2016-09-15;6500000.0;carpinteria;microempresarial
193;masculino;servicio;cabecera san cristobal;3;60;2019-02-06;7800000.0;recreativo educativo;microempresarial
194;femenino;industria;manrique central no. 1;2;4;2019-06-27;8281000.0;fabrica;microempresarial
195;masculino;industria;la floresta;2;12;2018-07-09;7800000.0;fabrica repuestos;microempresarial
196;femenino;comercio;la francia;2;2;2019-04-08;6000000.0;tienda;microempresarial
198;masculino;servicio;castilla;2;5;2016-04-26;6890000.0;comidas rapidas;microempresarial
199;femenino;servicio;san javier no.1;2;13;2017-04-03;7000000.0;distribuidora;microempresarial
200;masculino;industria;guayabal;3;15;2017-12-29;7300000.0;fabrica repuestos;microempresarial
201;femenino;industria;manrique central no. 1;2;4;2018-08-21;3000000.0;fabrica;microempresarial
202;femenino;comercio;20 de julio;1;13;2018-06-08;2000000.0;almacen ropa;microempresarial
203;masculino;comercio;la milagrosa;3;9;2018-03-09;5000000.0;variedades;microempresarial
204;femenino;servicio;aranjuez;2;4;2018-09-24;7800000.0;peluqueria;microempresarial
205;femenino;servicio;castilla;3;5;2018-12-17;7500000.0;recreativo educativo;microempresarial
206;masculino;comercio;villa hermosa;3;8;2017-08-04;7300000.0;distribuidora;microempresarial
207;femenino;comercio;manrique central no. 1;2;4;2018-09-27;6000000.0;restaurante;microempresarial
208;femenino;comercio;buenos aires;3;9;2017-06-14;7300000.0;almacen ropa;microempresarial
209;femenino;comercio;barrio caicedo;1;9;2018-11-14;3000000.0;taller electronica;microempresarial
210;femenino;industria;castilla;3;5;2019-01-04;7800000.0;fabrica;microempresarial
211;femenino;comercio;la pradera;2;13;2017-07-10;7370000.0;variedades;microempresarial
212;masculino;servicio;robledo;2;4;2018-07-10;5000000.0;productos belleza;microempresarial
213;femenino;industria;castilla;3;5;2017-09-22;4000000.0;fabrica muebles;microempresarial
214;masculino;industria;buenos aires;3;9;2019-06-12;2500000.0;fabrica;microempresarial
215;femenino;industria;san pablo;2;1;2018-02-21;1000000.0;fabrica;microempresarial
216;masculino;comercio;robledo;2;7;2017-07-10;7377000.0;almacen ropa;microempresarial
217;femenino;comercio;manrique central no. 2;3;3;2019-05-22;5000000.0;tienda;microempresarial
218;femenino;comercio;robledo;2;7;2017-01-27;4000000.0;comidas rapidas;microempresarial
219;femenino;comercio;jardin botanico;2;3;2019-01-30;4000000.0;variedades;microempresarial
220;masculino;industria;manrique oriental;1;3;2018-10-03;7800000.0;fabrica;microempresarial
221;masculino;servicio;robledo;3;7;2018-07-09;7800000.0;lavanderia;microempresarial
222;femenino;industria;buenos aires;1;9;2018-07-12;4000000.0;fabrica;microempresarial
223;femenino;comercio;belen;2;16;2016-10-19;4000000.0;venta calzado;microempresarial
224;masculino;servicio;san javier no.1;3;13;2019-02-15;8122200.0;taller electronica;microempresarial
225;masculino;comercio;manrique central no. 1;3;4;2018-05-10;7800000.0;tienda;microempresarial
226;masculino;comercio;el salvador;3;9;2019-04-26;7000000.0;papeleria;microempresarial
227;masculino;comercio;cabecera san cristobal;2;60;2018-08-01;3000000.0;carpinteria;microempresarial
228;masculino;industria;belencito;2;13;2016-11-04;4000000.0;ebanistaria;microempresarial
229;masculino;industria;cabecera san cristobal;2;60;2018-12-19;4000000.0;fabrica;microempresarial
230;masculino;comercio;san antonio;3;8;2019-06-21;4500000.0;tienda;microempresarial
231;femenino;servicio;belen;2;16;2017-03-09;4000000.0;criadero animales;microempresarial
232;femenino;comercio;miranda;2;4;2018-02-01;2000000.0;variedades;microempresarial
233;femenino;industria;tejelo;3;5;2017-04-24;5000000.0;fabrica;microempresarial
234;masculino;servicio;la esperanza;3;6;2016-03-07;6890000.0;recreativo educativo;microempresarial
235;masculino;industria;belencito;2;13;2018-05-18;2000000.0;ebanistaria;microempresarial
236;femenino;industria;las esmeraldas;2;4;2018-03-06;3000000.0;fabrica;microempresarial
237;femenino;servicio;robledo;2;7;2016-05-19;2000000.0;recreativo educativo;microempresarial
238;masculino;comercio;barrio caicedo;1;9;2018-10-03;7500000.0;comidas rapidas;microempresarial
240;masculino;comercio;belen;2;16;2017-02-23;5000000.0;restaurante;microempresarial
241;masculino;industria;moravia;2;4;2018-06-27;3500000.0;comidas rapidas;microempresarial
242;masculino;industria;santander;2;6;2017-08-18;7377000.0;fabrica productos;microempresarial
243;masculino;industria;castilla;2;5;2017-05-16;7370000.0;panaderia;microempresarial
244;femenino;comercio;buenos aires;3;9;2017-02-15;6800000.0;variedades;microempresarial
245;masculino;industria;campo valdes no. 1;2;4;2018-03-07;6000000.0;fabrica;microempresarial
246;femenino;comercio;aranjuez;2;4;2018-08-13;7812242.0;almacen ropa;microempresarial
247;femenino;servicio;doce de octubre no.1;1;6;2017-01-27;6000000.0;mantenimiento;microempresarial
248;femenino;comercio;santander;2;6;2018-06-21;6000000.0;variedades;microempresarial
249;femenino;industria;campo valdes no. 1;3;4;2017-11-30;7000000.0;fabrica;microempresarial
250;masculino;comercio;campo valdes no. 1;2;4;2016-04-11;6890000.0;tienda helados;microempresarial
251;masculino;comercio;belencito;2;13;2016-03-10;6890000.0;tienda;microempresarial
252;femenino;servicio;campo valdes no. 1;3;4;2018-04-03;7800000.0;peluqueria;microempresarial
253;masculino;servicio;florencia;3;5;2018-08-21;6000000.0;organización;microempresarial
254;femenino;industria;santa cruz;2;2;2018-07-09;4500000.0;fabrica;microempresarial
255;masculino;comercio;robledo;2;7;2017-01-17;7377000.0;variedades;microempresarial
256;masculino;industria;pablo vi;2;2;2017-05-16;7000000.0;fabrica;microempresarial
257;femenino;servicio;boyaca;3;5;2018-03-06;6000000.0;comidas rapidas;microempresarial
258;masculino;servicio;robledo;2;7;2016-12-30;4000000.0;variedades;microempresarial
259;femenino;comercio;manrique central no. 2;2;3;2016-05-06;3500000.0;tienda;microempresarial
260;femenino;industria;robledo;2;7;2018-07-10;3800000.0;fabrica;microempresarial
261;masculino;comercio;santa cruz;2;2;2018-08-08;7800000.0;cafeteria;microempresarial
262;femenino;comercio;belen;3;16;2017-07-12;7370000.0;variedades;microempresarial
263;femenino;comercio;la francia;2;2;2018-08-01;6000000.0;variedades;microempresarial
264;masculino;comercio;pedregal;3;6;2018-03-15;7800000.0;legumbreria;microempresarial
265;masculino;comercio;campo valdes no. 1;3;4;2018-03-07;7000000.0;variedades;microempresarial
266;masculino;comercio;boyaca;3;5;2017-05-05;6000000.0;restaurante;microempresarial
268;femenino;comercio;robledo;1;7;2017-05-17;6000000.0;almacen ropa;microempresarial
269;femenino;comercio;prado;3;10;2016-04-18;6890000.0;variedades;microempresarial
270;femenino;servicio;robledo;2;7;2017-07-19;7300000.0;servicios;microempresarial
271;femenino;comercio;cabecera san cristobal;2;60;2017-08-17;4000000.0;distribuidora;microempresarial
272;femenino;industria;picacho;1;6;2016-09-07;4000000.0;fabrica;microempresarial
273;femenino;comercio;santa cruz;2;2;2018-07-18;7812000.0;fabrica;microempresarial
274;masculino;industria;doce de octubre no.1;1;6;2017-05-31;5000000.0;fabrica;microempresarial
275;femenino;comercio;picacho;2;6;2018-07-04;5000000.0;variedades;microempresarial
276;femenino;servicio;san joaquin;3;11;2018-08-09;7800000.0;mantenimiento;microempresarial
277;femenino;comercio;castilla;3;5;2016-09-02;6000000.0;variedades;microempresarial
278;masculino;servicio;la america;3;12;2016-05-10;6890000.0;mantenimiento;microempresarial
279;masculino;industria;robledo;2;7;2017-11-15;5000000.0;fabrica;microempresarial
280;femenino;comercio;manrique oriental;2;7;2018-05-30;7800000.0;comidas rapidas;microempresarial
281;femenino;industria;manrique central no. 2;2;3;2018-01-29;7800000.0;fabrica;microempresarial
282;femenino;servicio;san javier no.1;1;13;2018-10-31;3000000.0;cafe internet;microempresarial
283;masculino;comercio;enciso;2;8;2019-06-12;8000000.0;comidas rapidas;microempresarial
284;femenino;comercio;campo valdes no. 1;3;4;2016-02-25;300000.0;tienda;microempresarial
285;femenino;comercio;villa niza;2;2;2018-04-12;5000000.0;almacen ropa;microempresarial
286;masculino;comercio;barrio caicedo;1;9;2018-08-14;5500000.0;almacen ropa;microempresarial
287;femenino;industria;la francia;2;2;2016-11-01;6890000.0;fabrica;microempresarial
288;masculino;comercio;el pinal;2;8;2019-04-03;8281000.0;distribuidora;microempresarial
289;femenino;industria;buenos aires;3;9;2019-03-11;8000000.0;fabrica;microempresarial
290;femenino;industria;manrique central no. 1;2;4;2018-04-24;5000000.0;fabrica;microempresarial
291;masculino;comercio;la colina;3;15;2017-06-20;4000000.0;restaurante;microempresarial
292;femenino;industria;santander;3;6;2017-02-08;3500000.0;fabrica;microempresarial
293;masculino;industria;campo valdes no. 1;2;4;2017-12-06;7300000.0;fabrica;microempresarial
294;femenino;industria;aranjuez;3;4;2018-10-11;3000000.0;variedades;microempresarial
295;femenino;servicio;buenos aires;1;9;2017-11-16;7000000.0;mantenimiento;microempresarial
296;masculino;comercio;robledo;2;7;2018-01-26;5000000.0;variedades;microempresarial
297;masculino;comercio;aranjuez;2;4;2018-05-10;1500000.0;comidas rapidas;microempresarial
298;femenino;industria;san benito;3;10;2018-05-28;5000000.0;fabrica repuestos;microempresarial
299;femenino;servicio;aranjuez;3;4;2017-02-14;6000000.0;peluqueria;microempresarial
300;femenino;industria;aranjuez;3;4;2018-05-04;7800000.0;variedades;microempresarial
301;femenino;comercio;robledo;3;7;2018-02-22;5000000.0;comidas rapidas;microempresarial
302;femenino;industria;aranjuez;3;4;2018-04-10;3000000.0;fabrica;microempresarial
303;masculino;comercio;manila;3;14;2019-04-22;1500000.0;fabrica calzado;microempresarial
304;femenino;comercio;robledo;2;7;2017-12-06;7300000.0;comidas rapidas;microempresarial
305;masculino;industria;santa cruz;1;2;2016-08-11;4000000.0;carpinteria;microempresarial
306;masculino;comercio;popular;2;1;2018-11-07;7800000.0;fabrica alimentos;microempresarial
307;femenino;industria;manrique central no. 1;3;4;2018-05-17;5000000.0;fabrica;microempresarial
308;femenino;industria;lopez de mesa;3;7;2017-09-20;5000000.0;fabrica;microempresarial
309;femenino;comercio;pedregal;3;6;2017-10-25;7377000.0;variedades;microempresarial
310;femenino;industria;popular;2;1;2016-08-31;6000000.0;fabrica;microempresarial
311;femenino;industria;robledo;1;7;2019-02-21;7000000.0;fabrica;microempresarial
312;femenino;industria;manrique central no. 2;2;3;2017-08-10;3000000.0;fabrica;microempresarial
313;femenino;comercio;enciso;2;8;2017-10-26;1000000.0;variedades;microempresarial
314;masculino;comercio;campo valdes no. 1;3;4;2018-07-16;7800000.0;variedades;microempresarial
315;femenino;servicio;buenos aires;3;9;2016-07-12;6000000.0;comidas rapidas;microempresarial
316;femenino;comercio;la palma;2;16;2018-06-22;7000000.0;comidas rapidas;microempresarial
317;femenino;industria;olaya herrera;1;7;2018-06-14;4500000.0;fabrica helados;microempresarial
